site,sp,Site.sp,median.coeff,ind95,ind80,cont,rls,mass,class,guild,nyears,site_type,Hunted
VB,Pecari tajacu,Pecari tajacu-VB,0.033835248,stable,stable,LA,LC,21267,MAMMALIA,Omnivore,7,settled,Yes
VB,Dasyprocta punctata,Dasyprocta punctata-VB,-0.214784769,decreasing,decreasing,LA,LC,2675,MAMMALIA,Herbivore,7,settled,Yes
VB,Dasypus novemcinctus,Dasypus novemcinctus-VB,-0.282282651,decreasing,decreasing,LA,LC,4204,MAMMALIA,Herbivore,7,settled,Yes
VB,Didelphis marsupialis,Didelphis marsupialis-VB,-0.164878067,decreasing,decreasing,LA,LC,1091,MAMMALIA,Omnivore,7,settled,No
VB,Cuniculus paca,Cuniculus paca-VB,-0.334178403,decreasing,decreasing,LA,LC,8000,MAMMALIA,Herbivore,7,settled,Yes
VB,Nasua narica,Nasua narica-VB,-0.141665656,stable,decreasing,LA,LC,4030,MAMMALIA,Omnivore,7,settled,No
VB,Eira barbara,Eira barbara-VB,0.042955876,stable,stable,LA,LC,3910,MAMMALIA,Omnivore,7,settled,No
VB,Tamandua mexicana,Tamandua mexicana-VB,-0.129786499,stable,stable,LA,LC,4210,MAMMALIA,Insectivore,7,settled,No
VB,Procyon lotor,Procyon lotor-VB,0.050709222,stable,stable,LA,LC,5525,MAMMALIA,Omnivore,7,settled,No
VB,Odocoileus virginianus,Odocoileus virginianus-VB,0.319905263,stable,stable,LA,LC,55509,MAMMALIA,Herbivore,7,settled,Yes
VB,Proechimys semispinosus,Proechimys semispinosus-VB,-0.537549967,decreasing,decreasing,LA,LC,361,MAMMALIA,Omnivore,7,settled,No
VB,Puma concolor,Puma concolor-VB,-0.009896141,stable,stable,LA,LC,51600,MAMMALIA,Carnivore,7,settled,No
VB,Leopardus pardalis,Leopardus pardalis-VB,-0.258367611,decreasing,decreasing,LA,LC,11900,MAMMALIA,Carnivore,7,settled,No
VB,Panthera onca,Panthera onca-VB,0.173196776,stable,stable,LA,NT,1.00E+05,MAMMALIA,Carnivore,7,settled,No
VB,Mazama temama,Mazama temama-VB,0.169839378,increasing,increasing,LA,DD,2100,MAMMALIA,Herbivore,7,settled,Yes
VB,Tapirus bairdii,Tapirus bairdii-VB,-0.058147546,stable,stable,LA,EN,225000,MAMMALIA,Herbivore,7,settled,Unknown
