site.sp,site,bin,Case
CAX.Dasypus novemcinctus,CAX,Dasypus novemcinctus,simple
CAX.Cuniculus paca,CAX,Cuniculus paca,simple
CAX.Mazama nemorivaga,CAX,Mazama nemorivaga,simple
CAX.Dasyprocta leporina,CAX,Dasyprocta leporina,simple
CAX.Dasypus kappleri,CAX,Dasypus kappleri,simple
CAX.Mazama americana,CAX,Mazama americana,simple
CAX.Psophia viridis,CAX,Psophia viridis,simple
CSN.Crax alector,CSN,Crax alector,simple
CSN.Dasypus novemcinctus,CSN,Dasypus novemcinctus,simple
CSN.Tapirus terrestris,CSN,Tapirus terrestris,simple
CSN.Myoprocta acouchy,CSN,Myoprocta acouchy,simple
CSN.Cuniculus paca,CSN,Cuniculus paca,simple
CSN.Didelphis marsupialis,CSN,Didelphis marsupialis,simple
CSN.Mazama americana,CSN,Mazama americana,simple
CSN.Psophia crepitans,CSN,Psophia crepitans,simple
CSN.Dasyprocta leporina,CSN,Dasyprocta leporina,simple
MAS.Cuniculus paca,MAS,Cuniculus paca,simple
MAS.Didelphis marsupialis,MAS,Didelphis marsupialis,simple
MAS.Mazama americana,MAS,Mazama americana,simple
MAS.Psophia crepitans,MAS,Psophia crepitans,simple
MAS.Dasyprocta leporina,MAS,Dasyprocta leporina,simple
MAS.Metachirus nudicaudatus,MAS,Metachirus nudicaudatus,simple
MAS.Pecari tajacu,MAS,Pecari tajacu,simple
MAS.Myoprocta acouchy,MAS,Myoprocta acouchy,simple
MAS.Dasypus novemcinctus,MAS,Dasypus novemcinctus,simple
VB_.Cuniculus paca,VB_,Cuniculus paca,simple
VB_.Pecari tajacu,VB_,Pecari tajacu,simple
VB_.Dasypus novemcinctus,VB_,Dasypus novemcinctus,simple
VB_.Tapirus bairdii,VB_,Tapirus bairdii,simple
VB_.Dasyprocta punctata,VB_,Dasyprocta punctata,simple
BIF.Cercopithecus lhoesti,BIF,Cercopithecus lhoesti,simple
BIF.Cephalophus silvicultor,BIF,Cephalophus silvicultor,simple
BIF.Cephalophus nigrifrons,BIF,Cephalophus nigrifrons,simple
BBS.Muntiacus muntjak,BBS,Muntiacus muntjak,simple
BBS.Hystrix brachyura,BBS,Hystrix brachyura,simple
BBS.Macaca nemestrina,BBS,Macaca nemestrina,simple
BBS.Argusianus argus,BBS,Argusianus argus,simple
BBS.Sus scrofa,BBS,Sus scrofa,simple
NAK.Muntiacus muntjak,NAK,Muntiacus muntjak,simple
NAK.Atherurus macrourus,NAK,Atherurus macrourus,simple
NNN.Protoxerus stangeri,NNN,Protoxerus stangeri,simple
NNN.Loxodonta africana,NNN,Loxodonta africana,simple
NNN.Cephalophus dorsalis,NNN,Cephalophus dorsalis,simple
NNN.Cephalophus silvicultor,NNN,Cephalophus silvicultor,simple
NNN.Pan troglodytes,NNN,Pan troglodytes,simple
NNN.Philantomba monticola,NNN,Philantomba monticola,simple
NNN.Cephalophus callipygus,NNN,Cephalophus callipygus,simple
NNN.Cricetomys gambianus,NNN,Cricetomys gambianus,simple
NNN.Potamochoerus porcus,NNN,Potamochoerus porcus,simple
NNN.Gorilla gorilla,NNN,Gorilla gorilla,simple
YAS.Myoprocta pratti,YAS,Myoprocta pratti,simple
YAS.Pecari tajacu,YAS,Pecari tajacu,simple
YAS.Tapirus terrestris,YAS,Tapirus terrestris,simple
YAS.Dasyprocta fuliginosa,YAS,Dasyprocta fuliginosa,simple
YAS.Dasypus novemcinctus,YAS,Dasypus novemcinctus,simple
YAS.Tayassu pecari,YAS,Tayassu pecari,simple
YAS.Cuniculus paca,YAS,Cuniculus paca,simple
YAS.Tinamus major,YAS,Tinamus major,simple
YAS.Leopardus pardalis,YAS,Leopardus pardalis,simple
YAS.Mazama nemorivaga,YAS,Mazama nemorivaga,simple
YAS.Mazama americana,YAS,Mazama americana,simple
YAS.Sciurus igniventris,YAS,Sciurus igniventris,simple
YAS.Psophia crepitans,YAS,Psophia crepitans,simple
RNF.Nesomys rufus,RNF,Nesomys rufus,simple
RNF.Fossa fossana,RNF,Fossa fossana,simple
UDZ.Cephalophus harveyi,UDZ,Cephalophus harveyi,simple
UDZ.Rhynchocyon udzungwensis,UDZ,Rhynchocyon udzungwensis,simple
UDZ.Cercocebus sanjei,UDZ,Cercocebus sanjei,simple
UDZ.Cephalophus spadix,UDZ,Cephalophus spadix,simple
UDZ.Cricetomys gambianus,UDZ,Cricetomys gambianus,simple
UDZ.Genetta servalina,UDZ,Genetta servalina,simple
UDZ.Paraxerus vexillarius,UDZ,Paraxerus vexillarius,simple
UDZ.Bdeogale crassicauda,UDZ,Bdeogale crassicauda,simple
UDZ.Nesotragus moschatus,UDZ,Nesotragus moschatus,simple
UDZ.Guttera pucherani,UDZ,Guttera pucherani,simple
BCI.Dasyprocta punctata,BCI,Dasyprocta punctata,simple
BCI.Mazama temama,BCI,Mazama temama,simple
BCI.Cuniculus paca,BCI,Cuniculus paca,simple
BCI.Tinamus major,BCI,Tinamus major,simple
BCI.Didelphis marsupialis,BCI,Didelphis marsupialis,simple
BCI.Nasua narica,BCI,Nasua narica,simple
BCI.Proechimys semispinosus,BCI,Proechimys semispinosus,simple
BCI.Pecari tajacu,BCI,Pecari tajacu,simple
BCI.Dasypus novemcinctus,BCI,Dasypus novemcinctus,simple
BCI.Odocoileus virginianus,BCI,Odocoileus virginianus,simple
YAN.Cuniculus paca,YAN,Cuniculus paca,simple
YAN.Dasyprocta fuliginosa,YAN,Dasyprocta fuliginosa,simple
YAN.Dasypus novemcinctus,YAN,Dasypus novemcinctus,simple
YAN.Mitu tuberosum,YAN,Mitu tuberosum,simple
YAN.Tapirus terrestris,YAN,Tapirus terrestris,simple
COU.Mitu tuberosum,COU,Mitu tuberosum,simple
COU.Tapirus terrestris,COU,Tapirus terrestris,simple
COU.Myoprocta pratti,COU,Myoprocta pratti,simple
COU.Pecari tajacu,COU,Pecari tajacu,simple
