SamplingUnit,Elevation,ForestLoss,ForestGain,FLossGain,Tmin.2010,Tmin.2011,Tmin.2012,Tmin.2013,Tmin.2014,Tmax.2010,Tmax.2011,Tmax.2012,Tmax.2013,Tmax.2014,Tvar.2010,Tvar.2011,Tvar.2012,Tvar.2013,Tvar.2014
CT-UDZ-1-01,1329,0.021276596,0,0,12,13,12,12,NA,19,18,18,17,NA,2.878921449,2.594019206,2.379240506,2.412874332,NA
CT-UDZ-1-02,726,0.02173913,0,0,17,16,16,NA,17,25,25,24,NA,24,6.373123368,8.139278669,3.563040254,NA,2.920528049
CT-UDZ-1-03,391,0.040816327,0,0.020408163,18,16,16,16,15,27,24,23,23,24,7.432292565,3.584298176,3.137614679,3.942090395,8.10218254
CT-UDZ-1-04,1468,0,0,0,11,12,13,12,NA,16,15,16,17,NA,1.017008798,0.85140946,0.478622669,1.337888199,NA
CT-UDZ-1-05,1424,0,0,0,11,12,12,12,12,16,15,16,17,16,0.970829826,0.657031015,1.330041522,0.710463265,1.109620849
CT-UDZ-1-06,1343,0,0,0,11,12,11,12,NA,16,18,16,17,NA,1.573446021,1.391465657,1.582256922,1.161803682,NA
CT-UDZ-1-07,972,0,0,0,16,15,16,16,NA,20,20.55555556,20,20,NA,2.115655533,1.489459437,1.381491509,1.058055152,NA
CT-UDZ-1-08,642,0.021276596,0,0,17,NA,19,17,18,25,NA,23,24,23,4.182463054,NA,1.661271573,2.804375381,1.284416147
CT-UDZ-1-09,1370,0,0,0,12,13,12,NA,NA,17,18,16,NA,NA,0.817146023,1.572426642,1.514687242,NA,NA
CT-UDZ-1-10,1362,0,0,0,13,12,13,12,11,17,17,17,17,17,1.661306678,1.55628729,1.168249661,1.958235911,2.024136742
CT-UDZ-1-11,1283,0,0,0,11,11,12,12,13,18,16,16,16,17,3.643170167,2.697900666,1.831704981,1.468337218,0.805544554
CT-UDZ-1-12,879,0.02173913,0,0,NA,15,NA,15,NA,NA,24,NA,21,NA,NA,3.203763375,NA,2.303343999,NA
CT-UDZ-1-13,1297,0.081632653,0,0,12.22222222,13,13,13,13,20,21,20,20,19,2.285920061,5.278606965,3.191847626,3.679157992,2.464934391
CT-UDZ-1-14,1173,0,0,0,16,12,13,NA,NA,21,23,19,NA,NA,4.117647059,9.548583878,2.048630312,NA,NA
CT-UDZ-1-14.1,1279,0,0,0,NA,NA,NA,12,13,NA,NA,NA,19,20,NA,NA,NA,3.223905323,3.631641232
CT-UDZ-1-15,913,0.020408163,0,0,15,15,13,16,NA,25,24,22,23,NA,6.360904141,7.400226496,4.149165649,3.131150426,NA
CT-UDZ-1-16,731,0,0,0,13,16,15,NA,13,25,25,22,NA,22,7.947818468,6.032905771,4.164665161,NA,5.858704453
CT-UDZ-1-17,687,0,0,0,18,16,17,18,17,25,24,21,25,24,5.223702665,3.194734677,1.082750909,3.375630252,2.596513076
CT-UDZ-1-18,954,0,0,0,15,14,15,14,15,31,24,24,23,29,8.762177743,5.534591195,3.356100444,6.547165164,6.543585526
CT-UDZ-1-19,556,0.020408163,0,0,17,17,16,16,NA,24,24,24,25,NA,3.568322981,4.329257803,2.39599628,8.363703543,NA
CT-UDZ-1-20,525,0,0,0,19,17,17,17,16,26,22,22,26,21,9.060728745,1.450375491,1.283140283,3.152223108,2.59811716
CT-UDZ-2-01,887,0.042553191,0,0.021276596,15,15,17,14,15,24,24,25,22,24,7.078409395,6.260343257,5.272457918,8.435920487,7.238270943
CT-UDZ-2-02,888,0.038461538,0,0,16,16,15,15,NA,22,21,23,22,NA,3.761368209,2.170792809,3.552192861,5.382149711,NA
CT-UDZ-2-03,1107,0,0,0,16,14,13,14,14,17,19,29,18,23,0.06639839,3.44534413,23.3537415,1.568316832,6.555745689
CT-UDZ-2-04,640,0,0,0,18,17,17,18,NA,26,26,23,25,NA,7.188311688,6.592803598,4.644827586,3.319587629,NA
CT-UDZ-2-05,1499,0,0,0,14,11,12,13,13,20,21,18,18,20,2.293156733,5.25,3.208126722,4.341146186,5.896122209
CT-UDZ-2-06,1415,0,0,0,14,12,12,13,12,21,19,17,19,17,2.968101681,2.546660197,2.135272288,2.157782625,1.458307856
CT-UDZ-2-07,1463,0,0,0,13,11,12,12,NA,20,17,17,18,NA,2.710643016,2.865413975,2.274647887,1.953824439,NA
CT-UDZ-2-08,1232,0.195652174,0.086956522,0.195652174,16,16,13,14,NA,20,18,18,19,NA,2.079042457,1.2,2.68115942,3.274161736,NA
CT-UDZ-2-09,777,0,0,0,16,15,16,17,15,23,25,23,24,22,2.756187217,1.947024708,5.839690134,3.600816993,1.979420689
CT-UDZ-2-10,378,0,0,0,18,19,18,19,19,25,26,25,27,25,3.12905452,4.290772627,2.840527629,3.254533679,1.233301391
CT-UDZ-2-11,1586,0.020408163,0,0.020408163,14,12,12,13,13,19,16,17,17,19,3.527359781,2.670386905,2.112820513,1.622954652,2.245113138
CT-UDZ-2-12,1798,0,0,0,11,11,10,NA,NA,17,15,16,NA,NA,4.807692308,1.249038462,2.027258567,NA,NA
CT-UDZ-2-13,1675,0,0,0,13,9,12,11,NA,18,15,16,16,NA,2.2644453,1.566926381,1.622413793,1.358103326,NA
CT-UDZ-2-14,1239,0.022222222,0.088888889,0,16,14,11,13,15,21,19,18,18,18,2.221202854,1.61573499,1.6999656,1.827634162,1.461808604
CT-UDZ-2-15,1122,0.021276596,0,0,15,15,15,19,NA,21,19,19,19,NA,2.943925234,0.79372549,1.222729869,0,NA
CT-UDZ-2-16,680,0,0,0,20,19,18,17,NA,26,22,22,24,NA,2.042553191,1.255864995,0.989799447,4.043406593,NA
CT-UDZ-2-17,1277,0,0,0,12,13,13,17,14,22,17,19,19,19,10.53986014,1.991902834,5.725490196,0.917417417,4.422222222
CT-UDZ-2-18,1463,0,0,0,11,12.22222222,11,NA,11,19,17.77777778,17,NA,18,4.804558886,3.901004247,3.225663717,NA,2.327130997
CT-UDZ-2-19,1733,0.040816327,0,0,12.77777778,9,12,11,NA,20,15,16,19,NA,6.446778453,3.882352941,2.619047619,10.83333333,NA
CT-UDZ-2-20,1423,0.020408163,0,0,14,12,12,NA,12,17,17,17,NA,19,0.935714286,1.416806723,1.33699905,NA,2.328693022
CT-UDZ-3-01,1377,0,0,0,15,14,12,15,NA,22,22,17,20,NA,3.65440149,5.553797468,2.449387755,2.175776398,NA
CT-UDZ-3-02,1016,0,0,0,19,16,17,17,17,26,26,23,22,22,5.98961039,7.771264368,4.765700483,2.288753799,2.118138876
CT-UDZ-3-03,561,0.02173913,0,0,20,20,18,18,19,30,29,28,28,27,5.206349206,5.786262626,6.456254235,11.28827064,3.9264945
CT-UDZ-3-04,1400,0.020833333,0,0,14,12,13,13,11,27,23,23,23,20,7.98115942,8.358433735,9.366946779,8.694799659,10.28477011
CT-UDZ-3-05,1462,0,0,0,16,12,13,12,14,21,20,22,20,20,2.468438538,4.779935275,5.362300885,5.21577655,3.317786286
CT-UDZ-3-06,1522,0,0,0,15.55555556,13,13,14,NA,17.77777778,21,19,20,NA,0.508351489,5.938921206,2.068068021,3.056697108,NA
CT-UDZ-3-07,1355,0,0,0,18,16,13,15,14,21,24,22,20,20,1.565217391,2.895300449,2.934545876,3.061499493,1.496986673
CT-UDZ-3-08,1108,0,0,0,18,16,15,16,14,25,24,24,25,22,4.307388111,3.246691591,7.294513087,8.319579257,4.604143441
CT-UDZ-3-09,566,0,0,0,20,20,18,19,19,30,28,30,23,27,9.089982528,4.679879972,6.265848606,1.234234234,4.086956522
CT-UDZ-3-10,1374,0,0,0,15,13,13,NA,NA,20,22,20,NA,NA,1.974489796,4.486534245,2.450284855,NA,NA
CT-UDZ-3-11,1282,0,0,0,15,15,15,16,NA,22,24,23,20,NA,3.997901915,5.491822333,1.856548233,0.741346154,NA
CT-UDZ-3-12,1027,0,0,0,17,16,16,16,NA,23,26,23,23,NA,2.598767383,7.632725172,5.677200136,2.559837728,NA
CT-UDZ-3-13,709,0,0.02173913,0,NA,20,16,18,17,NA,21,24,26,25,NA,0.3,3.334421676,5.145669291,3.830065359
CT-UDZ-3-14,1358,0.020833333,0,0,17,13,16,12,NA,21,25,26,23,NA,1.121190131,6.123567235,15.01462656,8.989943168,NA
CT-UDZ-3-15,1265,0.065217391,0,0,15,13,15,NA,14,22,21,23,NA,22,3.004329004,3.422314294,2.793004298,NA,3.385766206
CT-UDZ-3-16,1109,0.041666667,0.041666667,0,18,16,17,14,NA,24,24,26,24,NA,4.072218987,4.494720965,3.341981132,4.421118012,NA
CT-UDZ-3-17,728,0.022222222,0,0,16,18,17,17,16,24,29,21,26,25,4.515254237,10.31226903,4.8,6.162713734,3.354298357
CT-UDZ-3-18,1724,0,0,0,15,13.33333333,12,NA,NA,21,21.66666667,21,NA,NA,2.319771634,5.228184602,3.851365137,NA,NA
CT-UDZ-3-19,1756,0,0,0,13,13,12,12,11,17,22,17,19,18,2.12,4.173572982,1.447901049,2.636917563,3.516939891
CT-UDZ-3-20,1488,0,0,0,16,14,14,13,13,21,24,19,18,20,1.72230014,8.61712204,2.675628445,1.176201011,2.470487596
