Sampling.Unit.Name,Time,Temp.max,Temp.min,Temp.var
CT-UDZ-3-19,1,17,13,2.12
CT-UDZ-2-10,1,25,18,3.12905452
CT-UDZ-3-01,1,22,15,3.65440149
CT-UDZ-2-09,1,23,16,2.756187217
CT-UDZ-3-14,1,21,17,1.121190131
CT-UDZ-3-02,1,26,19,5.98961039
CT-UDZ-2-07,1,20,13,2.710643016
CT-UDZ-1-05,1,16,11,0.970829826
CT-UDZ-2-16,1,26,20,2.042553191
CT-UDZ-3-03,1,30,20,5.206349206
CT-UDZ-2-12,1,17,11,4.807692308
CT-UDZ-3-18,1,21,15,2.319771634
CT-UDZ-2-15,1,21,15,2.943925234
CT-UDZ-2-13,1,18,13,2.2644453
CT-UDZ-3-16,1,24,18,4.072218987
CT-UDZ-2-19,1,20,12.77777778,6.446778453
CT-UDZ-2-11,1,19,14,3.527359781
CT-UDZ-1-10,1,17,13,1.661306678
CT-UDZ-2-14,1,21,16,2.221202854
CT-UDZ-1-01,1,19,12,2.878921449
CT-UDZ-3-15,1,22,15,3.004329004
CT-UDZ-1-11,1,18,11,3.643170167
CT-UDZ-3-17,1,24,16,4.515254237
CT-UDZ-1-09,1,17,12,0.817146023
CT-UDZ-1-03,1,27,18,7.432292565
CT-UDZ-3-12,1,23,17,2.598767383
CT-UDZ-1-15,1,25,15,6.360904141
CT-UDZ-1-13,1,20,12.22222222,2.285920061
CT-UDZ-1-07,1,20,16,2.115655533
CT-UDZ-3-11,1,22,15,3.997901915
CT-UDZ-1-16,1,25,13,7.947818468
CT-UDZ-3-10,1,20,15,1.974489796
CT-UDZ-1-14,1,21,16,4.117647059
CT-UDZ-1-17,1,25,18,5.223702665
CT-UDZ-3-20,1,21,16,1.72230014
CT-UDZ-3-07,1,21,18,1.565217391
CT-UDZ-1-18,1,31,15,8.762177743
CT-UDZ-1-08,1,25,17,4.182463054
CT-UDZ-3-06,1,17.77777778,15.55555556,0.508351489
CT-UDZ-1-19,1,24,17,3.568322981
CT-UDZ-1-02,1,25,17,6.373123368
CT-UDZ-2-01,1,24,15,7.078409395
CT-UDZ-3-08,1,25,18,4.307388111
CT-UDZ-1-20,1,26,19,9.060728745
CT-UDZ-2-20,1,17,14,0.935714286
CT-UDZ-3-05,1,21,16,2.468438538
CT-UDZ-2-04,1,26,18,7.188311688
CT-UDZ-1-06,1,16,11,1.573446021
CT-UDZ-3-09,1,30,20,9.089982528
CT-UDZ-2-02,1,22,16,3.761368209
CT-UDZ-2-03,1,17,16,0.06639839
CT-UDZ-3-04,1,27,14,7.98115942
CT-UDZ-2-06,1,21,14,2.968101681
CT-UDZ-2-17,1,22,12,10.53986014
CT-UDZ-2-08,1,20,16,2.079042457
CT-UDZ-1-04,1,16,11,1.017008798
CT-UDZ-2-18,1,19,11,4.804558886
CT-UDZ-2-05,1,20,14,2.293156733
CT-UDZ-1-20,2,22,17,1.450375491
CT-UDZ-3-10,2,22,13,4.486534245
CT-UDZ-2-05,2,21,11,5.25
CT-UDZ-2-10,2,26,19,4.290772627
CT-UDZ-1-03,2,24,16,3.584298176
CT-UDZ-3-01,2,22,14,5.553797468
CT-UDZ-1-16,2,25,16,6.032905771
CT-UDZ-1-07,2,20.55555556,15,1.489459437
CT-UDZ-2-09,2,25,15,1.947024708
CT-UDZ-3-09,2,28,20,4.679879972
CT-UDZ-3-02,2,26,16,7.771264368
CT-UDZ-2-06,2,19,12,2.546660197
CT-UDZ-1-14,2,23,12,9.548583878
CT-UDZ-2-07,2,17,11,2.865413975
CT-UDZ-3-18,2,21.66666667,13.33333333,5.228184602
CT-UDZ-3-03,2,29,20,5.786262626
CT-UDZ-2-04,2,26,17,6.592803598
CT-UDZ-2-16,2,22,19,1.255864995
CT-UDZ-1-05,2,15,12,0.657031015
CT-UDZ-1-17,2,24,16,3.194734677
CT-UDZ-3-14,2,25,13,6.123567235
CT-UDZ-2-12,2,15,11,1.249038462
CT-UDZ-3-07,2,24,16,2.895300449
CT-UDZ-1-04,2,15,12,0.85140946
CT-UDZ-2-15,2,19,15,0.79372549
CT-UDZ-3-16,2,24,16,4.494720965
CT-UDZ-2-19,2,15,9,3.882352941
CT-UDZ-2-18,2,17.77777778,12.22222222,3.901004247
CT-UDZ-2-13,2,15,9,1.566926381
CT-UDZ-1-18,2,24,14,5.534591195
CT-UDZ-2-02,2,21,16,2.170792809
CT-UDZ-3-06,2,21,13,5.938921206
CT-UDZ-2-11,2,16,12,2.670386905
CT-UDZ-1-06,2,18,12,1.391465657
CT-UDZ-2-14,2,19,14,1.61573499
CT-UDZ-3-04,2,23,12,8.358433735
CT-UDZ-1-10,2,17,12,1.55628729
CT-UDZ-1-19,2,24,17,4.329257803
CT-UDZ-3-15,2,21,13,3.422314294
CT-UDZ-2-20,2,17,12,1.416806723
CT-UDZ-3-08,2,24,16,3.246691591
CT-UDZ-1-11,2,16,11,2.697900666
CT-UDZ-1-01,2,18,13,2.594019206
CT-UDZ-3-17,2,29,18,10.31226903
CT-UDZ-2-03,2,19,14,3.44534413
CT-UDZ-1-12,2,24,15,3.203763375
CT-UDZ-3-13,2,21,20,0.3
CT-UDZ-2-01,2,24,15,6.260343257
CT-UDZ-1-09,2,18,13,1.572426642
CT-UDZ-3-19,2,22,13,4.173572982
CT-UDZ-3-12,2,26,16,7.632725172
CT-UDZ-1-02,2,25,16,8.139278669
CT-UDZ-3-05,2,20,12,4.779935275
CT-UDZ-1-15,2,24,15,7.400226496
CT-UDZ-3-20,2,24,14,8.61712204
CT-UDZ-3-11,2,24,15,5.491822333
CT-UDZ-2-08,2,18,16,1.2
CT-UDZ-1-13,2,21,13,5.278606965
CT-UDZ-2-17,2,17,13,1.991902834
CT-UDZ-3-18,3,21,12,3.851365137
CT-UDZ-1-03,3,23,16,3.137614679
CT-UDZ-1-02,3,24,16,3.563040254
CT-UDZ-1-01,3,18,12,2.379240506
CT-UDZ-1-07,3,20,16,1.381491509
CT-UDZ-1-08,3,23,19,1.661271573
CT-UDZ-1-06,3,16,11,1.582256922
CT-UDZ-1-04,3,16,13,0.478622669
CT-UDZ-1-05,3,16,12,1.330041522
CT-UDZ-1-10,3,17,13,1.168249661
CT-UDZ-1-11,3,16,12,1.831704981
CT-UDZ-1-09,3,16,12,1.514687242
CT-UDZ-1-15,3,22,13,4.149165649
CT-UDZ-1-13,3,20,13,3.191847626
CT-UDZ-1-16,3,22,15,4.164665161
CT-UDZ-1-14,3,19,13,2.048630312
CT-UDZ-1-17,3,21,17,1.082750909
CT-UDZ-1-18,3,24,15,3.356100444
CT-UDZ-1-19,3,24,16,2.39599628
CT-UDZ-2-01,3,25,17,5.272457918
CT-UDZ-1-20,3,22,17,1.283140283
CT-UDZ-2-04,3,23,17,4.644827586
CT-UDZ-2-02,3,23,15,3.552192861
CT-UDZ-2-03,3,29,13,23.3537415
CT-UDZ-2-06,3,17,12,2.135272288
CT-UDZ-2-08,3,18,13,2.68115942
CT-UDZ-2-05,3,18,12,3.208126722
CT-UDZ-2-10,3,25,18,2.840527629
CT-UDZ-2-09,3,23,16,5.839690134
CT-UDZ-2-07,3,17,12,2.274647887
CT-UDZ-2-16,3,22,18,0.989799447
CT-UDZ-2-12,3,16,10,2.027258567
CT-UDZ-2-15,3,19,15,1.222729869
CT-UDZ-2-13,3,16,12,1.622413793
CT-UDZ-2-11,3,17,12,2.112820513
CT-UDZ-2-14,3,18,11,1.6999656
CT-UDZ-2-19,3,16,12,2.619047619
CT-UDZ-3-03,3,28,18,6.456254235
CT-UDZ-3-02,3,23,17,4.765700483
CT-UDZ-3-01,3,17,12,2.449387755
CT-UDZ-2-20,3,17,12,1.33699905
CT-UDZ-2-18,3,17,11,3.225663717
CT-UDZ-2-17,3,19,13,5.725490196
CT-UDZ-3-04,3,23,13,9.366946779
CT-UDZ-3-09,3,30,18,6.265848606
CT-UDZ-3-05,3,22,13,5.362300885
CT-UDZ-3-08,3,24,15,7.294513087
CT-UDZ-3-06,3,19,13,2.068068021
CT-UDZ-3-07,3,22,13,2.934545876
CT-UDZ-3-10,3,20,13,2.450284855
CT-UDZ-3-11,3,23,15,1.856548233
CT-UDZ-3-12,3,23,16,5.677200136
CT-UDZ-3-13,3,24,16,3.334421676
CT-UDZ-3-17,3,21,17,4.8
CT-UDZ-3-15,3,23,15,2.793004298
CT-UDZ-3-16,3,26,17,3.341981132
CT-UDZ-3-14,3,26,16,15.01462656
CT-UDZ-3-19,3,17,12,1.447901049
CT-UDZ-3-20,3,19,14,2.675628445
CT-UDZ-3-09,4,23,19,1.234234234
CT-UDZ-1-19,4,25,16,8.363703543
CT-UDZ-3-08,4,25,16,8.319579257
CT-UDZ-1-18,4,23,14,6.547165164
CT-UDZ-1-08,4,24,17,2.804375381
CT-UDZ-3-06,4,20,14,3.056697108
CT-UDZ-1-17,4,25,18,3.375630252
CT-UDZ-3-07,4,20,15,3.061499493
CT-UDZ-3-19,4,19,12,2.636917563
CT-UDZ-1-13,4,20,13,3.679157992
CT-UDZ-1-15,4,23,16,3.131150426
CT-UDZ-3-11,4,20,16,0.741346154
CT-UDZ-1-14.1,4,19,12,3.223905323
CT-UDZ-1-07,4,20,16,1.058055152
CT-UDZ-3-12,4,23,16,2.559837728
CT-UDZ-1-12,4,21,15,2.303343999
CT-UDZ-1-01,4,17,12,2.412874332
CT-UDZ-3-13,4,26,18,5.145669291
CT-UDZ-1-11,4,16,12,1.468337218
CT-UDZ-1-03,4,23,16,3.942090395
CT-UDZ-3-17,4,26,17,6.162713734
CT-UDZ-2-11,4,17,13,1.622954652
CT-UDZ-1-10,4,17,12,1.958235911
CT-UDZ-2-14,4,18,13,1.827634162
CT-UDZ-2-13,4,16,11,1.358103326
CT-UDZ-2-15,4,19,19,0
CT-UDZ-3-20,4,18,13,1.176201011
CT-UDZ-2-19,4,19,11,10.83333333
CT-UDZ-2-16,4,24,17,4.043406593
CT-UDZ-2-07,4,18,12,1.953824439
CT-UDZ-3-03,4,28,18,11.28827064
CT-UDZ-2-09,4,24,17,3.600816993
CT-UDZ-3-02,4,22,17,2.288753799
CT-UDZ-2-10,4,27,19,3.254533679
CT-UDZ-1-05,4,17,12,0.710463265
CT-UDZ-3-01,4,20,15,2.175776398
CT-UDZ-2-08,4,19,14,3.274161736
CT-UDZ-3-16,4,24,14,4.421118012
CT-UDZ-2-06,4,19,13,2.157782625
CT-UDZ-1-04,4,17,12,1.337888199
CT-UDZ-2-17,4,19,17,0.917417417
CT-UDZ-2-03,4,18,14,1.568316832
CT-UDZ-2-02,4,22,15,5.382149711
CT-UDZ-1-06,4,17,12,1.161803682
CT-UDZ-3-04,4,23,13,8.694799659
CT-UDZ-2-04,4,25,18,3.319587629
CT-UDZ-2-05,4,18,13,4.341146186
CT-UDZ-1-20,4,26,17,3.152223108
CT-UDZ-3-14,4,23,12,8.989943168
CT-UDZ-3-05,4,20,12,5.21577655
CT-UDZ-2-01,4,22,14,8.435920487
CT-UDZ-3-13,5,25,17,3.830065359
CT-UDZ-2-20,5,19,12,2.328693022
CT-UDZ-1-17,5,24,17,2.596513076
CT-UDZ-2-06,5,17,12,1.458307856
CT-UDZ-1-11,5,17,13,0.805544554
CT-UDZ-2-18,5,18,11,2.327130997
CT-UDZ-1-03,5,24,15,8.10218254
CT-UDZ-2-03,5,23,14,6.555745689
CT-UDZ-3-03,5,27,19,3.9264945
CT-UDZ-3-07,5,20,14,1.496986673
CT-UDZ-2-17,5,19,14,4.422222222
CT-UDZ-1-16,5,22,13,5.858704453
CT-UDZ-1-13,5,19,13,2.464934391
CT-UDZ-2-09,5,22,15,1.979420689
CT-UDZ-2-10,5,25,19,1.233301391
CT-UDZ-3-04,5,20,11,10.28477011
CT-UDZ-3-17,5,25,16,3.354298357
CT-UDZ-1-20,5,21,16,2.59811716
CT-UDZ-1-02,5,24,17,2.920528049
CT-UDZ-3-19,5,18,11,3.516939891
CT-UDZ-3-09,5,27,19,4.086956522
CT-UDZ-1-10,5,17,11,2.024136742
CT-UDZ-2-01,5,24,15,7.238270943
CT-UDZ-1-14.1,5,20,13,3.631641232
CT-UDZ-2-11,5,19,13,2.245113138
CT-UDZ-3-05,5,20,14,3.317786286
CT-UDZ-1-05,5,16,12,1.109620849
CT-UDZ-2-05,5,20,13,5.896122209
CT-UDZ-1-08,5,23,18,1.284416147
CT-UDZ-3-15,5,22,14,3.385766206
CT-UDZ-3-08,5,22,14,4.604143441
CT-UDZ-1-18,5,29,15,6.543585526
CT-UDZ-2-14,5,18,15,1.461808604
CT-UDZ-3-02,5,22,17,2.118138876
CT-UDZ-3-20,5,20,13,2.470487596
