Sampling.Unit,Elevation,ForestLoss,ForestGain,FLossGain,Tmin.2008,Tmin.2009,Tmin.2010,Tmin.2011,Tmin.2012,Tmin.2013,Tmin.2014,Tmax.2008,Tmax.2009,Tmax.2010,Tmax.2011,Tmax.2012,Tmax.2013,Tmax.2014,Tvar.2008,Tvar.2009,Tvar.2010,Tvar.2011,Tvar.2012,Tvar.2013,Tvar.2014
CT-VB-1-1,49,0,0,0,20,20,20,18,18,19,NA,30,27,20,28,32,32,NA,4.88,5.704109589,0,5.767425686,8.050660636,8.178238814,NA
CT-VB-1-10,102,0,0,0,19,16,18,20,20,19,18,25,24,25,26,26,28,27,2.87,3.788516976,6.695238095,1.658791209,2.517163412,5.484972321,3.59780084
CT-VB-1-11,102,0,0,0,20,24,20,NA,20,21,20,27,24,26,NA,25,23,24,2.9,0,2.643669986,NA,3.852439024,1.142857143,2.079310345
CT-VB-1-12,73,0,0,0,19,19,21,18,22,20,18,28,22,26,22,29,26,27,5.12,1.989473684,2.121786326,1.672050037,5.152173913,3.487058824,6.84914361
CT-VB-1-13,121,0,0,0,21,19,20,21,21,NA,18,28,21,22,21,21,NA,26,3.83,1,0.314285714,0,0,NA,3.172075209
CT-VB-1-14,63,0,0,0,22,19,21,20,20,20,24,27,25,28,29,27,28,24,3.69,1.88439138,6.652079208,8.800784314,4.84549775,9.391322314,0
CT-VB-1-15,122,0,0,0,21,20,22,NA,18,20,NA,25,24,28,NA,22,25,NA,1.27,1.301218162,3.857142857,NA,1.444444444,2.457123524,NA
CT-VB-1-16,144,0,0,0,22,20,19,21,20,20,18,27,24,25,23,25,25,25,2.22,1.069004525,3.066492829,0.235863095,2.115676194,1.665517558,1.926266971
CT-VB-1-17,142,0,0,0,19,NA,NA,NA,19,NA,NA,26,NA,NA,NA,25,NA,NA,2.56,NA,NA,NA,2.948717949,NA,NA
CT-VB-1-18,169,0,0,0,21,20,20,22,21,22,NA,27,25,26,23,22,23,NA,2.15,1.049101024,1.639727361,0.25,0.3,0.099206349,NA
CT-VB-1-19,172,0,0,0,19,21,18,NA,20,19,NA,25,21,23,NA,21,25,NA,2.35,0,1.758426966,NA,0.123376623,5.213793103,NA
CT-VB-1-2,62,0,0,0,20,NA,20,18,18,NA,NA,28,NA,26,26,25,NA,NA,8.3,NA,2.924955286,4.207678883,3.084928016,NA,NA
CT-VB-1-20,189,0,0,0,21,21,19,20,22,NA,NA,26,22,24,28,23,NA,NA,4.23,0.200534759,2.118461538,4.957507405,0.3,NA,NA
