Sampling.Unit.Name,Time,Temp.max,Temp.min,Temp.var
CT-VB-3-2,1,20,19,0.238095238
CT-VB-2-14,1,24,19,3.253456221
CT-VB-2-13,1,25,19,4.973063973
CT-VB-1-8,1,22,20,0.75
CT-VB-2-11,1,22,19,0.77254902
CT-VB-2-12,1,28,16,8.7025
CT-VB-2-18,1,23,19,2.4
CT-VB-2-17,1,25,16,5.932318653
CT-VB-3-15,1,15,14,0.146859903
CT-VB-3-14,1,16,13,0.948717949
CT-VB-1-6,1,25,18,2.859060403
CT-VB-3-13,1,15,14,0.249169435
CT-VB-1-5,1,24,17,7.0625
CT-VB-1-1,1,27,20,5.704109589
CT-VB-1-7,1,21,20,0.171428571
CT-VB-3-12,1,14,14,0
CT-VB-3-18,1,11,11,0
CT-VB-1-9,1,26,19,2.273524721
CT-VB-3-11,1,17,16,0.255060729
CT-VB-1-11,1,24,24,0
CT-VB-3-10,1,16,12,2.180407801
CT-VB-1-14,1,25,19,1.88439138
CT-VB-1-13,1,21,19,1
CT-VB-3-8,1,16,16,0
CT-VB-1-16,1,24,20,1.069004525
CT-VB-3-7,1,19,17,0.49002849
CT-VB-1-10,1,24,16,3.788516976
CT-VB-1-15,1,24,20,1.301218162
CT-VB-3-6,1,21,17,1.444874823
CT-VB-3-17,1,17,13,1.935981649
CT-VB-1-18,1,25,20,1.049101024
CT-VB-1-12,1,22,19,1.989473684
CT-VB-1-20,1,22,21,0.200534759
CT-VB-2-7,1,25,16,16.14449036
CT-VB-1-19,1,21,21,0
CT-VB-3-5,1,18,17,0.106153846
CT-VB-2-1,1,27,20,3.035824345
CT-VB-2-4,1,22,22,0
CT-VB-3-1,1,20,18,0.096774194
CT-VB-2-6,1,23,19,2.466943579
CT-VB-3-4,1,21,18,1.472727273
CT-VB-1-4,1,25,19,1.876767677
CT-VB-2-5,1,26,17,3.167195083
CT-VB-2-16,1,22,14,4.177765608
CT-VB-3-16,1,11,11,0
CT-VB-2-9,1,26,19,2.094566155
CT-VB-3-19,1,11,10,0.189189189
CT-VB-2-20,1,25,16,8.600757135
CT-VB-3-20,1,14,9,1.83150969
CT-VB-2-8,1,26,17,4.821669431
CT-VB-2-19,1,22,16,4.762446657
CT-VB-2-10,1,25,18,3.738620011
CT-VB-3-4,2,21,18,0.360627178
CT-VB-2-7,2,24,19,3.758241758
CT-VB-2-20,2,21,21,0
CT-VB-1-12,2,26,21,2.121786326
CT-VB-1-14,2,28,21,6.652079208
CT-VB-1-19,2,23,18,1.758426966
CT-VB-1-10,2,25,18,6.695238095
CT-VB-2-11,2,22,19,1.75
CT-VB-1-13,2,22,20,0.314285714
CT-VB-2-14,2,23,19,4.8
CT-VB-1-8,2,26,21,1.862091503
CT-VB-3-1,2,22,19,1.295454545
CT-VB-2-13,2,24,18,1.728100394
CT-VB-3-2,2,18,18,0
CT-VB-3-8,2,18,18,0
CT-VB-2-12,2,25,19,5.803448276
CT-VB-1-16,2,25,19,3.066492829
CT-VB-2-6,2,24,20,1.813953488
CT-VB-2-18,2,21,19,1
CT-VB-1-2,2,26,20,2.924955286
CT-VB-2-17,2,24,20,2.314285714
CT-VB-1-15,2,28,22,3.857142857
CT-VB-2-1,2,28,20,12.25
CT-VB-3-15,2,18,14,1.064039409
CT-VB-3-20,2,13,9,1.428032392
CT-VB-1-6,2,27,19,5.04
CT-VB-3-7,2,20,17,1.025641026
CT-VB-3-14,2,16,14,0.923076923
CT-VB-1-5,2,26,19,3.456818182
CT-VB-2-16,2,20,17,2.454545455
CT-VB-1-1,2,20,20,0
CT-VB-3-5,2,21,18,1.7265892
CT-VB-3-13,2,15,14,0.062365591
CT-VB-1-4,2,27,19,3.681801471
CT-VB-3-6,2,17,17,0
CT-VB-2-9,2,26.11111111,20,5.734767025
CT-VB-1-18,2,26,20,1.639727361
CT-VB-3-12,2,16,14,1.022727273
CT-VB-2-2,2,23,23,0
CT-VB-1-9,2,26.11111111,22.22222222,0.49905838
CT-VB-1-20,2,24,19,2.118461538
CT-VB-3-3,2,23,19,1.824383164
CT-VB-3-11,2,18,13,3.090479651
CT-VB-3-18,2,13,11,0.466666667
CT-VB-1-11,2,26,20,2.643669986
CT-VB-2-8,2,25,19,2.533450704
CT-VB-2-20,3,22,17,1.385490754
CT-VB-3-20,3,12,5,5.758468129
CT-VB-3-19,3,15,14,0.171428571
CT-VB-3-18,3,11,11,0
CT-VB-3-17,3,13,10,1.136054422
CT-VB-3-16,3,11,11,0
CT-VB-3-15,3,15,8,5.586206897
CT-VB-3-14,3,15,11,0.290859667
CT-VB-3-13,3,13,13,0
CT-VB-3-12,3,15,9,6.557142857
CT-VB-3-11,3,17,14,1.854545455
CT-VB-3-10,3,16,12,4.102564103
CT-VB-3-9,3,20.55555556,16.11111111,3.581603582
CT-VB-3-7,3,21,14,4.079051383
CT-VB-3-6,3,17,16,0.248296008
CT-VB-3-3,3,19,16,1.21954023
CT-VB-3-5,3,21,14,6.197368421
CT-VB-3-4,3,17,16,0.146520147
CT-VB-2-16,3,19,19,0
CT-VB-2-15,3,16,16,0
CT-VB-2-14,3,22,20,0.75
CT-VB-2-13,3,19,18,0.3
CT-VB-2-18,3,23,21,1
CT-VB-2-17,3,21,18,1.382352941
CT-VB-2-11,3,25,20,1.650042626
CT-VB-2-10,3,25,18,2.349090909
CT-VB-2-8,3,24,18,2.8625
CT-VB-2-7,3,25,18,6.170150987
CT-VB-2-9,3,27.22222222,21.11111111,1.229806637
CT-VB-2-6,3,23,18,3.434315101
CT-VB-2-4,3,21,17,0.599179207
CT-VB-2-3,3,24,18,2.492388717
CT-VB-2-2,3,25,18,8.421428571
CT-VB-1-20,3,28,20,4.957507405
CT-VB-1-18,3,23,22,0.25
CT-VB-1-16,3,23,21,0.235863095
