"","sitecode","trap_ID","lat","long","buffer_m","fc_threshold","fc_npix","fc_frac_loss","fc_frac_gain","fc_frac_lossgain"
"1","BBS","CT-BBS-1-01",-5.694427,104.421008,"30m buffer",75,2,0,0,0
"2","BBS","CT-BBS-1-01",-5.694427,104.421008,"60m buffer",75,12,0,0,0
"3","BBS","CT-BBS-1-01",-5.694427,104.421008,"120m buffer",75,47,0,0,0
"4","BBS","CT-BBS-1-02",-5.694696,104.433718,"30m buffer",75,2,0,0,0
"5","BBS","CT-BBS-1-02",-5.694696,104.433718,"60m buffer",75,11,0,0,0
"6","BBS","CT-BBS-1-02",-5.694696,104.433718,"120m buffer",75,46,0,0,0
"7","BBS","CT-BBS-1-03",-5.694394,104.445535,"30m buffer",75,3,0,0,0
"8","BBS","CT-BBS-1-03",-5.694394,104.445535,"60m buffer",75,11,0,0,0
"9","BBS","CT-BBS-1-03",-5.694394,104.445535,"120m buffer",75,46,0,0,0
"10","BBS","CT-BBS-1-04",-5.681763,104.408092,"30m buffer",75,3,0,0,0
"11","BBS","CT-BBS-1-04",-5.681763,104.408092,"60m buffer",75,12,0,0,0
"12","BBS","CT-BBS-1-04",-5.681763,104.408092,"120m buffer",75,47,0,0,0
"13","BBS","CT-BBS-1-05",-5.681559,104.42085,"30m buffer",75,2,0,0,0
"14","BBS","CT-BBS-1-05",-5.681559,104.42085,"60m buffer",75,12,0,0,0
"15","BBS","CT-BBS-1-05",-5.681559,104.42085,"120m buffer",75,46,0,0,0
"16","BBS","CT-BBS-1-06",-5.681524,104.433554,"30m buffer",75,4,0,0,0
"17","BBS","CT-BBS-1-06",-5.681524,104.433554,"60m buffer",75,14,0,0,0
"18","BBS","CT-BBS-1-06",-5.681524,104.433554,"120m buffer",75,48,0,0,0
"19","BBS","CT-BBS-1-07",-5.681714,104.446115,"30m buffer",75,2,0,0,0
"20","BBS","CT-BBS-1-07",-5.681714,104.446115,"60m buffer",75,10,0,0,0
"21","BBS","CT-BBS-1-07",-5.681714,104.446115,"120m buffer",75,46,0,0,0
"22","BBS","CT-BBS-1-08",-5.669013,104.408272,"30m buffer",75,4,0,0,0
"23","BBS","CT-BBS-1-08",-5.669013,104.408272,"60m buffer",75,13,0,0,0
"24","BBS","CT-BBS-1-08",-5.669013,104.408272,"120m buffer",75,49,0,0,0
"25","BBS","CT-BBS-1-09",-5.669186,104.421027,"30m buffer",75,2,0,0,0
"26","BBS","CT-BBS-1-09",-5.669186,104.421027,"60m buffer",75,11,0,0,0
"27","BBS","CT-BBS-1-09",-5.669186,104.421027,"120m buffer",75,47,0,0,0
"28","BBS","CT-BBS-1-10",-5.669275,104.433681,"30m buffer",75,4,0,0,0
"29","BBS","CT-BBS-1-10",-5.669275,104.433681,"60m buffer",75,13,0,0,0
"30","BBS","CT-BBS-1-10",-5.669275,104.433681,"120m buffer",75,49,0,0,0
"31","BBS","CT-BBS-1-11",-5.669132,104.44603,"30m buffer",75,3,0,0,0
"32","BBS","CT-BBS-1-11",-5.669132,104.44603,"60m buffer",75,12,0,0,0
"33","BBS","CT-BBS-1-11",-5.669132,104.44603,"120m buffer",75,47,0,0,0
"34","BBS","CT-BBS-1-12",-5.656309,104.395518,"30m buffer",75,3,0,0,0
"35","BBS","CT-BBS-1-12",-5.656309,104.395518,"60m buffer",75,12,0,0,0
"36","BBS","CT-BBS-1-12",-5.656309,104.395518,"120m buffer",75,48,0,0,0
